id,activo,descripcion,nombre,anfitrion_id,alojamiento_dir
801,TRUE,"Este hotel de San Francisco está situado en la plaza Union Square, a 5 minutos a pie de la línea de tranvía Powell Street. Tiene piscina al aire libre y ofrece habitaciones con conexión para MP3.",Handlery Union Square Hotel,15015,801
802,TRUE,"Este alojamiento está a 1 minuto a pie de la playa. Este establecimiento se encuentra frente a la playa, en el corazón de Fort Myers Beach, y ofrece alojamientos tipo apartamento de 1 dormitorio con zona de cocina. En el resort hay WiFi gratuita y aparcamiento gratuito.",The Neptune Resort,15015,802
803,TRUE,Este hotel de suites se encuentra a 3 minutos en coche del Walt Disney World Resort. Ofrece una piscina exterior climatizada y desayuno gratuito. Se ofrece un servicio de traslado a Walt Disney World en un horario programado.,Buena Vista Suites Orlando,15015,803
804,TRUE,"El Riu Plaza Manhattan Times Square se encuentra en Nueva York, a 300 metros de Times Square, y ofrece registros de entrada y salida exprés, habitaciones para no fumadores, restaurante, WiFi gratuita en todas las instalaciones y bar. Este hotel de 4 estrellas ofrece servicio de conserjería y consigna de equipaje. Además, hay recepción 24 horas, centro de negocios y servicio de organización de excursiones.",Riu Plaza Manhattan Times Square,15015,804
805,TRUE,"Este hotel está ubicado en Manhattan, junto a la estación Grand Central Terminal, y alberga un sitio para comer y un centro de fitness StayFit (abierto todos los días, las 24 horas). Las habitaciones incluyen TV de pantalla plana y soporte para iPod.",Hyatt Grand Central New York,15015,805
806,TRUE,"El Au Manoir d'Anniviers está rodeado de montañas y viñedos y se encuentra en la histórica localidad de Vissoie, a 17 km de Sierre. Las habitaciones disponen de conexión Wi-Fi gratuita y balcón con vistas a los Alpes del Valais.",Au Manoir d'Anniviers,15020,806
807,TRUE,"El Hotel de l'Ours Preles se encuentra en Prêles y ofrece restaurante, bar, salón compartido y jardín. Ofrece habitaciones familiares y terraza. Hay servicio de habitaciones, cajero automático y servicio de organización de excursiones.",Hotel de l’Ours Preles,15020,807
808,TRUE,"El Hotel Royal Zurich está situado a solo 2 paradas de tranvía y a 5 minutos a pie de la estación principal de trenes de Zúrich y de la zona comercial Bahnhofstrasse, y ofrece aparcamiento en garaje privado por un suplemento y conexión WiFi de alta velocidad gratuita.",Royal Hotel Zurich,15020,808
809,TRUE,"El Hotel Harder Minerva está situado en el centro de Interlaken, en una calle lateral tranquila y a solo 50 metros de la calle principal. Ofrece habitaciones modernas con aire acondicionado, instalaciones de primera categoría y un apartamento con balcón, chimenea y conexión Wi-Fi gratuita.",Hotel Harder Minerva,15020,809
810,TRUE,"Este alojamiento está a 11 minutos a pie de la playa. Situado a 100 metros de la estación de tren de Lucerna y a 200 metros del muelle, del famoso Kapellbrücke (Puente de la Capilla) y del lago, el Waldstätterhof Hotel goza de una céntrica ubicación.",Waldstätterhof Swiss Quality Hotel,15020,810
811,TRUE,"La Bastide Du Bois Breant se encuentra en Maubec y cuenta con restaurante, piscina al aire libre de temporada, bar y salón compartido. El hotel de 3 estrellas cuenta con jardín y habitaciones con aire acondicionado, WiFi gratuita y baño privado. El hotel ofrece aparcamiento privado gratuito y servicio de alquiler de coches.",La Bastide Du Bois Breant,15021,811
812,TRUE,"El Flat CHamps Élysées está situado en París, a 700 metros del Arco del Triunfo y a 1,6 km del Museo de la Orangerie y de la Torre Eiffel. El establecimiento se encuentra a 2 km del Museo de Orsay y de la ópera Garnier.",Flat CHamps Élysées,15022,812
813,TRUE,"El Hôtel Axotel Lyon está situado en el barrio de la Presqu’île de Lyon, a 6 minutos a pie de la estación de tren y metro de Perrache. El establecimiento alberga un restaurante tradicional, un jardín y terraza con sombra. Ofrece WiFi gratuita en todas sus instalaciones.",Hôtel Axotel Lyon,15023,813
814,TRUE,"El Ibis Marseille Centre está situado en el distrito 6 de Marsella y ofrece WiFi gratis y recepción 24 horas. El puerto viejo está a 12 minutos a pie y el estadio Vélodrome, a 3 km.",Ibis Marseille Centre,15024,814
815,TRUE,"El Pullman Montpellier Centre, situado en el centro histórico de Montpellier, a 500 metros de la Place de la Comédie y al lado del centro comercial Polygone, cuenta con piscina exterior en la azota, abierta todo el año y climatizada de abril a octubre. Tiene WiFi gratuita en todas las zonas. El hotel está a menos de 20 km de las playas de Palavas-les-Flots y La Grande Motte.",Pullman Montpellier Centre,15025,815
