id,calle,ciudad,numero,pais
801, Geary Street,San Francisco,351,58
802,Estero Boulevard,Miami,2310,58
803,"World Center Drive, Lago Buena Vista",Orlando,2310,58
804,West 47th Street,New York,145,58
805,East 42nd Street,New York,109,58
806,Route de Sierre 20,Berna,3961,176
807,"6 La Chaîne, 2515 Prêles",Interlaken,215,176
808,"Leonhardstrasse 6, 1.",Zurich,143,176
809,"Harderstr. 15, 3800",Interlaken,1400,176
810,Zentralstrasse 4,Lucerna,6003,176
811,501 chemin du puits du grandaou,Niza,84660,66
812,"78 Avenue des Champs-Élysées, Campos Elíseos",Paris,75008,66
813,12 rue Marc Antoine Petit,Lyon,69002,66
814,"13 Rue Lafon, Castellane et Préfecture",Marsella,13006,66
815,"1, rue des Pertuisanes",Montpellier,34000,66
